MESO,SUM of habitantes,QUANT
TRIANGULO MINEIRO/ALTO PARANAIBA,"2,165,555",2165.555
VALE DO ACRE,"537,274",537.274
VALE DO ITAJAI,"1,533,755",1533.755
VALE DO JURUA,"209,101",209.101
VALE DO MUCURI,"385,771",385.771
VALE DO PARAIBA PAULISTA,"2,285,509",2285.509
VALE DO RIO DOCE,"1,627,652",1627.652
VALE SAO-FRANCISCANO DA BAHIA,"971,131",971.131
ZONA DA MATA,"2,184,312",2184.312
Grand Total,"192,376,496",192376.496
