MESO,SUM of habitantes,QUANT
AGRESTE ALAGOANO,"659,101",659.101
AGRESTE PARAIBANO,"1,269,391",1269.391
AGRESTE PERNAMBUCANO,"2,412,364",2412.364
AGRESTE POTIGUAR,"462,658",462.658
AGRESTE SERGIPANO,"482,119",482.119
ARACATUBA,"765,432",765.432
ARARAQUARA,"909,258",909.258
ASSIS,"599,803",599.803
BAIXADAS,"861,732",861.732
BAIXO AMAZONAS,"812,850",812.85
BAURU,"1,614,574",1614.574
BORBOREMA,"315,518",315.518
CAMPINAS,"4,314,090",4314.09
CAMPO DAS VERTENTES,"594,581",594.581
CENTRAL ESPIRITO-SANTENSE,"2,304,647",2304.647
CENTRAL MINEIRA,"442,552",442.552
CENTRAL POTIGUAR,"404,847",404.847
CENTRO AMAZONENSE,"3,269,348",3269.348
CENTRO FLUMINENSE,"507,621",507.621
CENTRO GOIANO,"3,586,015",3586.015
CENTRO MARANHENSE,"960,433",960.433
CENTRO NORTE BAIANO,"2,358,073",2358.073
CENTRO NORTE DE MATO GROSSO DO SUL,"1,134,818",1134.818
CENTRO OCIDENTAL PARANAENSE,"328,863",328.863
CENTRO OCIDENTAL RIO-GRANDENSE,"557,831",557.831
CENTRO ORIENTAL PARANAENSE,"761,629",761.629
CENTRO ORIENTAL RIO-GRANDENSE,"836,299",836.299
CENTRO SUL BAIANO,"2,534,452",2534.452
CENTRO-NORTE PIAUIENSE,"1,528,823",1528.823
CENTRO-SUL CEARENSE,"391,868",391.868
CENTRO-SUL MATO-GROSSENSE,"1,152,451",1152.451
CENTRO-SUL PARANAENSE,"563,545",563.545
DISTRITO FEDERAL,"3,015,268",3015.268
EXTREMO OESTE BAIANO,"643,487",643.487
GRANDE FLORIANOPOLIS,"1,186,740",1186.74
ITAPETININGA,"910,413",910.413
JAGUARIBE,"560,131",560.131
JEQUITINHONHA,"723,929",723.929
LESTE ALAGOANO,"2,225,147",2225.147
LESTE DE MATO GROSSO DO SUL,"438,165",438.165
LESTE GOIANO,"1,410,715",1410.715
LESTE MARANHENSE,"1,430,217",1430.217
LESTE POTIGUAR,"1,736,822",1736.822
LESTE RONDONIENSE,"1,016,168",1016.168
LESTE SERGIPANO,"1,568,654",1568.654
LITORAL NORTE ESPIRITO-SANTENSE,"652,244",652.244
LITORAL SUL PAULISTA,"507,093",507.093
MACRO METROPOLITANA PAULISTA,"3,041,730",3041.73
MADEIRA-GUAPORE,"761,057",761.057
MARAJO,"564,199",564.199
MARILIA,"471,094",471.094
MATA PARAIBANA,"1,529,307",1529.307
MATA PERNAMBUCANA,"1,405,519",1405.519
METROPOLITANA DE BELEM,"2,707,279",2707.279
METROPOLITANA DE BELO HORIZONTE,"6,817,784",6817.784
METROPOLITANA DE CURITIBA,"3,956,837",3956.837
METROPOLITANA DE FORTALEZA,"3,808,511",3808.511
METROPOLITANA DE PORTO ALEGRE,"5,144,761",5144.761
METROPOLITANA DE RECIFE,"4,002,878",4002.878
METROPOLITANA DE SALVADOR,"4,601,273",4601.273
METROPOLITANA DE SAO PAULO,"23,373,277",23373.277
