MESO,SUM of habitantes,QUANT
METROPOLITANA DO RIO DE JANEIRO,"13,441,326",13441.326
NORDESTE BAIANO,"1,624,932",1624.932
NORDESTE MATO-GROSSENSE,"318,485",318.485
NORDESTE PARAENSE,"2,018,738",2018.738
NORDESTE RIO-GRANDENSE,"1,192,495",1192.495
NOROESTE CEARENSE,"1,425,980",1425.98
NOROESTE DE MINAS,"395,811",395.811
NOROESTE ESPIRITO-SANTENSE,"448,663",448.663
NOROESTE FLUMINENSE,"335,368",335.368
NOROESTE GOIANO,"223,320",223.32
NOROESTE PARANAENSE,"724,459",724.459
NOROESTE RIO-GRANDENSE,"1,979,432",1979.432
NORTE AMAZONENSE,"138,655",138.655
NORTE CATARINENSE,"1,403,281",1403.281
NORTE CEARENSE,"1,093,206",1093.206
NORTE CENTRAL PARANAENSE,"2,263,045",2263.045
NORTE DE MINAS,"1,722,156",1722.156
NORTE DE RORAIMA,"497,513",497.513
NORTE DO AMAPA,"69,931",69.931
NORTE FLUMINENSE,"958,248",958.248
NORTE GOIANO,"307,903",307.903
NORTE MARANHENSE,"2,840,284",2840.284
NORTE MATO-GROSSENSE,"1,132,447",1132.447
NORTE PIAUIENSE,"665,149",665.149
NORTE PIONEIRO PARANAENSE,"554,411",554.411
OCIDENTAL DO TOCANTINS,"963,390",963.39
OESTE CATARINENSE,"1,294,228",1294.228
OESTE DE MINAS,"1,056,982",1056.982
OESTE MARANHENSE,"1,508,258",1508.258
OESTE PARANAENSE,"1,315,226",1315.226
OESTE POTIGUAR,"902,526",902.526
ORIENTAL DO TOCANTINS,"609,476",609.476
PANTANAL SUL MATO-GROSSENSE,"264,301",264.301
PIRACICABA,"1,546,453",1546.453
PRESIDENTE PRUDENTE,"909,594",909.594
RIBEIRAO PRETO,"2,667,376",2667.376
SAO FRANCISCO PERNAMBUCANO,"663,089",663.089
SAO JOSE DO RIO PRETO,"1,736,252",1736.252
SERRANA,"415,384",415.384
SERTAO ALAGOANO,"453,109",453.109
SERTAO PARAIBANO,"903,911",903.911
SERTAO PERNAMBUCANO,"1,073,221",1073.221
SERTAO SERGIPANO,"247,923",247.923
SERTOES CEARENSES,"914,346",914.346
SUDESTE MATO-GROSSENSE,"523,349",523.349
SUDESTE PARAENSE,"1,969,523",1969.523
SUDESTE PARANAENSE,"437,531",437.531
SUDESTE PIAUIENSE,"543,194",543.194
SUDESTE RIO-GRANDENSE,"948,036",948.036
SUDOESTE AMAZONENSE,"404,397",404.397
SUDOESTE DE MATO GROSSO DO SUL,"941,702",941.702
SUDOESTE MATO-GROSSENSE,"357,734",357.734
SUDOESTE PARAENSE,"559,278",559.278
SUDOESTE PARANAENSE,"528,411",528.411
SUDOESTE PIAUIENSE,"536,061",536.061
SUDOESTE RIO-GRANDENSE,"718,385",718.385
SUL AMAZONENSE,"332,197",332.197
SUL BAIANO,"2,074,548",2074.548
SUL CATARINENSE,"1,032,366",1032.366
SUL CEARENSE,"938,036",938.036
SUL DE RORAIMA,"108,248",108.248
SUL DO AMAPA,"775,800",775.8
SUL ESPIRITO-SANTENSE,"613,096",613.096
SUL FLUMINENSE,"1,160,648",1160.648
SUL GOIANO,"1,490,401",1490.401
SUL MARANHENSE,"335,989",335.989
SUL/SUDOESTE DE MINAS,"2,615,720",2615.72
TRIANGULO MINEIRO/ALTO PARANAIBA,"2,384,478",2384.478
VALE DO ACRE,"639,139",639.139
VALE DO ITAJAI,"1,832,789",1832.789
VALE DO JURUA,"242,796",242.796
VALE DO MUCURI,"393,985",393.985
VALE DO PARAIBA PAULISTA,"2,552,610",2552.61
VALE DO RIO DOCE,"1,709,266",1709.266
VALE SAO-FRANCISCANO DA BAHIA,"1,036,299",1036.299
ZONA DA MATA,"2,311,547",2311.547
Grand Total,"210,176,127",210176.127
